18654788	4230010
18654788	4230112
18654790	4230211
18654790	4230312
18654791	4230411
18654792	4230511
18654794	4230612
18654793	4230712
18654792	4230811
18654793	4230912
18654793	4231012
18654794	4231111
18654792	4231210
18654794	4231312
18654793	4231410
18654795	4231512
18654794	4231610
18654793	4231712
18654795	4231811
18654796	4231904
18654793	4232005
18654793	4232108
18654790	4232209
18654797	4232308
18654789	4232408
18654796	4232512
18654794	4232610
18654794	4232711
18654794	4232809
18654792	4232908
18654796	4233011
18654794	4233111
18654797	4233212
18654791	4233312
18654796	4233411
18654797	4233511
18654796	4233611
18654796	4233712
18654795	4233813
18654796	4233911
18654800	4234011
18654801	4234116
18654794	4234207
18654798	4234308
18654800	4234412
18654798	4234511
18654801	4234610
18654799	4234712
18654799	4234811
18654800	4234910
18654799	4235012
18654797	4235112
18654799	4235212
18654799	4235311
18654800	4235411
18654801	4235512
18654801	4235611
18654801	4235712
18654797	4235813
18654799	4235911
18654801	4236011
18654801	4236112
18654801	4236211
18654801	4236311
18654802	4236411
18654802	4236511
18654803	4236611
18654807	4236711
18654802	4236811
18654803	4236910
18654803	4237011
18654804	4237112
18654805	4237211
18654804	4237312
18654805	4237410
18654804	4237512
18654804	4237612
18654804	4237712
18654805	4237811
18654804	4237911
18654805	4238011
18654808	4238112
18654806	4238211
18654806	4238310
18654806	4238410
18654806	4238511
18654806	4238611
18654806	4238711
18654807	4238812
18654807	4238911
18654807	4239012
18654806	4239111
18654808	4239210
18654808	4239310
18654807	4239412
18654807	4239511
18654807	4239612
18654808	4239711
18654807	4239811
18654808	4239911
18654808	4240012
18654809	4240112
18654808	4240211
18654808	4240311
18654808	4240411
18654809	4240511
18654809	4240611
18654810	4240713
18654809	4240811
18654810	4240911
18654810	4241012
18654810	4241112
18654810	4241212
18654811	4241311
18654811	4241411
18654811	4241511
18654810	4241612
18654811	4241711
18654812	4241811
18654812	4241911
18654812	4242011
18654812	4242112
18654812	4242211
18654813	4242311
18654812	4242411
18654812	4242510
18654814	4242611
18654815	4242711
18654814	4242811
18654814	4242911
18654815	4243012
18654816	4243112
18654815	4243211
18654816	4243312
18654815	4243411
18654815	4243510
18654814	4243611
18654814	4243711
18654814	4243811
18654815	4243911
18654815	4244011
18654814	4244111
18654813	4244211
18654815	4244311
18654813	4244412
18654816	4244511
18654815	4244613
18654816	4244711
18654817	4244812
18654817	4244911
18654818	4245012
